Tue Jan 16 09:07:54 2018    ikfast_profile.out

         1868569599 function calls (1790298646 primitive calls) in 746.066 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    4.412    4.412 ikfast_generator_cpp.py:947(generateIKChainRay)
16503247/13300105    1.594    0.000    4.373    0.000 {cmp}
    33123    0.039    0.000    4.342    0.000 matrices.py:407(__mul__)
    33114    0.088    0.000    4.290    0.000 matrices.py:2543(matrix_multiply)
       67    0.000    0.000    4.230    0.063 ikfast_generator_cpp.py:1844(WriteEquations2)
     24/1    0.000    0.000    4.217    4.217 ikfast_generator_cpp.py:1764(generateTree)
      8/1    0.000    0.000    4.217    4.217 ikfast.py:11991(generate)
      8/1    0.000    0.000    4.217    4.217 ikfast_generator_cpp.py:1618(generateCheckZeros)
      7/1    0.000    0.000    4.210    4.210 ikfast.py:12126(generate)
      7/1    0.000    0.000    4.210    4.210 ikfast_generator_cpp.py:1757(generateSequence)
    21336    0.008    0.000    4.147    0.000 densearith.py:1705(dmp_quo)
       67    0.002    0.000    4.144    0.062 ikfast_generator_cpp.py:1886(_WriteEquations)
  4480226    2.416    0.000    4.003    0.000 basic.py:82(__new__)
3833/1017    0.007    0.000    3.936    0.004 euclidtools.py:1741(dmp_content)
 11934411    3.126    0.000    3.777    0.000 densebasic.py:653(dmp_zero_p)
 34979086    3.746    0.000    3.746    0.000 basic.py:647(args)
   711256    0.515    0.000    3.743    0.000 numbers.py:1084(__eq__)
       73    0.001    0.000    3.560    0.049 ikfast_generator_cpp.py:159(customcse)
    80347    0.049    0.000    3.550    0.000 matrices.py:2583(<lambda>)
733665/726657    0.889    0.000    3.528    0.000 numbers.py:650(__mul__)
  6065923    1.446    0.000    3.453    0.000 densebasic.py:148(dmp_degree)
       11    0.000    0.000    3.059    0.278 ikfast.py:11610(generate)
       11    0.000    0.000    3.059    0.278 ikfast_generator_cpp.py:1120(generateSolution)
  1606462    1.743    0.000    3.049    0.000 core.py:220(__cmp__)
  1547501    0.961    0.000    3.017    0.000 pythonrationalfield.py:22(to_sympy)
       27    0.015    0.001    2.954    0.109 ikfast.py:11147(removecommonexprs)
 44214940    2.900    0.000    2.900    0.000 expr.py:1857(_eval_expand_log)
 44214940    2.893    0.000    2.893    0.000 expr.py:1842(_eval_expand_basic)
215616/213862    0.486    0.000    2.824    0.000 ikfast.py:333(Pow_eval_subs)
   118459    0.116    0.000    2.804    0.000 densearith.py:170(dmp_mul_term)
 39290707    2.760    0.000    2.760    0.000 {method 'iteritems' of 'dict' objects}
539170/120166    0.804    0.000    2.759    0.000 densearith.py:812(dmp_mul)
       34    0.000    0.000    2.756    0.081 polytools.py:2605(factor_list)
       34    0.000    0.000    2.752    0.081 polyclasses.py:708(factor_list)
    64/34    0.001    0.000    2.752    0.081 factortools.py:1211(dmp_factor_list)
